nhyp n1p n1q n1pq sp sq dist cor_mode rho fdr_p fdr_p_ci1 fdr_p_ci2 tdr_p tdr_p_ci1 tdr_p_ci2 fdr_cfdr fdr_cfdr_ci1 fdr_cfdr_ci2 tdr_cfdr tdr_cfdr_ci1 tdr_cfdr_ci2 fdr_orac fdr_orac_ci1 fdr_orac_ci2 tdr_orac tdr_orac_ci1 tdr_orac_ci2
5000 100 100 100 2 2 2 0 0 0.0959889785080645 0.0929365202772527 0.0990414367388764 0.193870967741935 0.191894709595415 0.195847225888456 0.0955101391733871 0.0926426318608093 0.0983776464859649 0.207626008064516 0.205569377952083 0.209682638176949 0.0953384930676085 0.0924763076450034 0.0982006784902135 0.212169525731584 0.2100740416039 0.214265009859269
5000 0 0 0 2 2 2 0 0 0.088145896656535 0.0704499678697711 0.105841825443299 NA NA NA 0.0972644376899696 0.0787689005083732 0.115759974871566 NA NA NA 1 1 1 NA NA NA
5000 100 100 100 1.5 1.5 1 0 0 0.100054453266332 0.0867575567831492 0.113351349749514 0.0080251256281407 0.00748487959374006 0.00856537166254135 0.0814195065326633 0.0694858622890936 0.093353150776233 0.00795477386934673 0.00742315724703249 0.00848639049166098 0.0873393845226131 0.0752433019137754 0.0994354671314507 0.00903517587939699 0.00845529802867578 0.00961505373011819
5000 100 100 100 3 3 3 0 0 0.0956178261359026 0.0937612367720014 0.0974744154998038 0.49330121703854 0.490942973025117 0.495659461051962 0.0957225557281947 0.0939064070108255 0.097538704445564 0.516536511156187 0.514180307841244 0.518892714471129 0.0944802803252033 0.0926932542998447 0.0962673063505618 0.526814024390244 0.524427702283748 0.52920034649674
10000 100 100 100 2 2 2 0 0 0.100295138487903 0.0971205677896945 0.103469709186112 0.173180443548387 0.171262072433367 0.175098814663407 0.0994771004637097 0.0963907732395015 0.102563427687918 0.188598790322581 0.186546517670894 0.190651062974267 0.0996579779414733 0.0966471018242432 0.102668854058703 0.19313824419778 0.191084899357424 0.195191589038136
1000 100 100 100 2 2 2 0 0 0.0800415485858586 0.0777238565635481 0.0823592406081691 0.260338383838384 0.257998432317145 0.262678335359622 0.0795094446060606 0.0772054833184509 0.0818134058936703 0.265469696969697 0.263080018690468 0.267859375248926 0.0787015781111111 0.0764636617485597 0.0809394944736625 0.268873737373737 0.266435171099906 0.271312303647568
5000 150 150 0 2 2 2 0 0 0.0991159188821138 0.0956192943116981 0.10261254345253 0.187520323638211 0.185258958163121 0.189781689113302 0.101554911239837 0.0978929245343966 0.105216897945278 0.177791329054878 0.175465469176846 0.18011718893291 0.097505962347561 0.0940148133680416 0.10099711132708 0.187303522012195 0.185042189476409 0.189564854547982
5000 0 0 200 2 2 2 0 0 0.0981543271385238 0.0952494756011865 0.101059178675861 0.194651162790698 0.192578337923964 0.196723987657431 0.0962955741961577 0.0938529061506662 0.0987382422416493 0.260151668351871 0.257641000096219 0.262662336607523 0.0804617311842105 0.0783462081693744 0.0825772541990467 0.309347165991903 0.306921035338036 0.311773296645769
5000 2000 2000 0 2 2 2 0 0 0.0595176553 0.0586722529969668 0.0603630576030332 0.301946 0.300767817295185 0.303124182704815 0.05847926558 0.0576281595875889 0.0593303715724111 0.313677 0.312443510580215 0.314910489419785 0.0580009926452906 0.0571749567809545 0.0588270285096266 0.319188376753507 0.31799352870568 0.320383224801334
5000 100 100 100 2 2 2 1 0.05 0.0960937924747475 0.0924750761936279 0.099712508755867 0.19970202020202 0.193829089527697 0.205574950876343 0.0973935228181818 0.0938602684518167 0.100926777184547 0.212828282828283 0.206880920660384 0.218775644996182 0.0933044006262626 0.090101384379232 0.0965074168732932 0.217333333333333 0.211320272885279 0.223346393781388
5000 100 100 100 2 2 2 2 0.05 0.098711499208925 0.0930300079048718 0.104392990512978 0.191115618661258 0.182188562351447 0.200042674971068 0.0896896656288032 0.0843434298510524 0.0950359014065541 0.205481744421907 0.196243616081287 0.214719872762526 0.095507378128179 0.0904902704684756 0.100524485787882 0.209211597151577 0.19999070980012 0.218432484503033
